,date,value,type
87,2016-04-01,119.93,close
88,2016-04-02,118.080002,open
88,2016-04-02,119.93,close
89,2016-04-03,118.080002,open
89,2016-04-03,119.93,close
90,2016-04-04,119.660004,open
90,2016-04-04,117.650002,close
91,2016-04-05,116.400002,open
91,2016-04-05,114.07,close
92,2016-04-06,114.089996,open
92,2016-04-06,115.470001,close
93,2016-04-07,114.739998,open
93,2016-04-07,113.540001,close
94,2016-04-08,114.879997,open
94,2016-04-08,113.410004,close
95,2016-04-09,114.879997,open
95,2016-04-09,113.410004,close
96,2016-04-10,114.879997,open
96,2016-04-10,113.410004,close
97,2016-04-11,114.110001,open
97,2016-04-11,114.639999,close
98,2016-04-12,114.989998,open
98,2016-04-12,115.790001,close
99,2016-04-13,115.809998,open
99,2016-04-13,117.989998,close
100,2016-04-14,118.160004,open
100,2016-04-14,117.720001,close
101,2016-04-15,117.5,open
101,2016-04-15,118.449997,close
102,2016-04-16,117.5,open
102,2016-04-16,118.449997,close
103,2016-04-17,117.5,open
103,2016-04-17,118.449997,close
104,2016-04-18,118.32,open
104,2016-04-18,121.260002,close
105,2016-04-19,121.349998,open
105,2016-04-19,121.68,close
106,2016-04-20,121.099998,open
106,2016-04-20,122.309998,close
107,2016-04-21,122.610001,open
107,2016-04-21,123.010002,close
108,2016-04-22,123.480003,open
108,2016-04-22,123.790001,close
109,2016-04-23,123.480003,open
109,2016-04-23,123.790001,close
110,2016-04-24,123.480003,open
110,2016-04-24,123.790001,close
111,2016-04-25,123.199997,open
111,2016-04-25,123.300003,close
112,2016-04-26,123.959999,open
112,2016-04-26,124.400002,close
113,2016-04-27,124.589996,open
113,2016-04-27,124.690002,close
114,2016-04-28,123.540001,open
114,2016-04-28,124.150002,close
115,2016-04-29,123.800003,open
115,2016-04-29,124.900002,close
116,2016-04-30,123.800003,open
116,2016-04-30,124.900002,close
117,2016-05-01,123.800003,open
117,2016-05-01,124.900002,close
118,2016-05-02,125.440002,open
118,2016-05-02,125.959999,close
119,2016-05-03,124.559998,open
119,2016-05-03,126.269997,close
120,2016-05-04,125.389999,open
120,2016-05-04,126.559998,close
121,2016-05-05,126.660004,open
121,2016-05-05,127.660004,close
122,2016-05-06,127.360001,open
122,2016-05-06,121.559998,close
123,2016-05-07,127.360001,open
123,2016-05-07,121.559998,close
124,2016-05-08,127.360001,open
124,2016-05-08,121.559998,close
125,2016-05-09,122.279999,open
125,2016-05-09,123.440002,close
126,2016-05-10,123.889999,open
126,2016-05-10,125.510002,close
